filename,width,height,class,xmin,ymin,xmax,ymax
0185982_630x355.jpg,630,355,macncheese,74,80,415,301
103685735_2aa24be930.jpg,300,400,macncheese,55,47,299,316
1253354606_2a367f0ea4.jpg,500,375,macncheese,57,66,428,347
1308097031_bf968f5ea9.jpg,374,500,macncheese,1,114,350,320
1415761812945.jpg,616,462,macncheese,104,25,508,423
1433575121_2357315e45.jpg,500,376,macncheese,41,96,357,319
1479184790-macaroni-and-cheese-caf-world-wiki-cookbook-recipes-gifts-and-ii6uiq-clipart.jpg,333,333,macncheese,51,69,279,194
1533281537_cc9f8fd200.jpg,375,500,macncheese,109,250,359,480
179995429_65f1c7d0a3.jpg,500,375,macncheese,204,124,500,373
1822299888_b79ff78c3e.jpg,500,375,macncheese,1,1,402,252
183381595.jpg,478,359,macncheese,95,58,339,213
1857474341_266db93e10.jpg,500,375,macncheese,61,83,420,321
20121009-mac-n-cheese-bowl-lowfat-4.jpg,610,458,macncheese,70,48,535,243
20121009-mac-n-cheese-bowl-trad-4.jpg,610,458,macncheese,86,50,518,294
2055218911_928dbeeffe.jpg,500,375,macncheese,6,37,404,375
212948802_8666ee604c.jpg,500,327,macncheese,8,8,500,279
2140081397_9e0bcd6fd3.jpg,500,375,macncheese,192,73,390,288
2188374941_3dab28deb8.jpg,500,375,macncheese,69,42,394,323
225334988_e03f7fe841.jpg,500,375,macncheese,92,152,367,342
2292821189_64cc5d5d52.jpg,500,375,macncheese,33,50,462,272
2353762154_554c656a0d.jpg,500,375,macncheese,4,19,498,339
2419092593_d65e7a3be1.jpg,500,358,macncheese,13,18,426,214
2434969347_849f697be1.jpg,500,375,macncheese,16,42,418,306
245078954_87c68b3a96.jpg,371,500,macncheese,14,281,228,428
2601915049_b60551e8e1.jpg,500,375,macncheese,94,88,362,280
2717733730_9802848175.jpg,500,375,macncheese,4,58,313,347
2755589202_5309e9410a.jpg,500,375,macncheese,53,47,398,290
2766319850_b4f2acae04.jpg,500,375,macncheese,61,96,500,374
2818714181_08ca544c02.jpg,500,380,macncheese,182,41,500,362
2909020041_7c46d3d4d3.jpg,375,500,macncheese,43,69,337,278
2954529837_ce356cfb18.jpg,500,333,macncheese,1,6,460,333
2970868575_b64cc734da.jpg,500,375,macncheese,43,1,339,149
3001170276_3e0d7a9f43.jpg,500,375,macncheese,139,27,500,222
3022958512_9cce5ff4d5.jpg,500,375,macncheese,136,124,388,303
3057139983_dbd0e9656d.jpg,500,375,macncheese,136,209,361,352
3084114272_4aa0ac83c8.jpg,500,375,macncheese,282,83,500,332
3088081360_205a0e8b1b.jpg,500,375,macncheese,82,47,361,293
3162303155_312704bc3a.jpg,500,369,macncheese,26,1,377,249
3241451461_524cb9250a.jpg,500,375,macncheese,113,58,426,262
3304945663_bcd8f65eba.jpg,375,500,macncheese,46,274,264,474
3326310350_31bced12f2.jpg,431,500,macncheese,10,108,379,392
3343412742_86e2ec0558.jpg,426,426,macncheese,38,83,378,313
3412562474_ba8d3a8eb4.jpg,500,375,macncheese,74,3,472,344
3419625407_06f7d9852b.jpg,500,333,macncheese,39,80,459,236
3420434144_92f9882243.jpg,500,333,macncheese,51,82,479,233
3448533367_097dc338a0.jpg,500,375,macncheese,131,1,490,247
347454191_a7c008cbf4.jpg,375,500,macncheese,49,107,344,404
3540990880_f6c59b11ac.jpg,500,375,macncheese,133,21,439,332
3553276452_0915930a17.jpg,500,383,macncheese,1,15,388,284
3605201776_cbf59d62c2.jpg,500,333,macncheese,247,36,500,210
3696283549_76e0d222b3.jpg,500,393,macncheese,54,161,384,359
3719167751_ff1691239c.jpg,500,375,macncheese,16,57,488,348
3856722940_71d6a650ea.jpg,500,375,macncheese,120,17,498,229
3871372110_f467b9c0b5.jpg,500,375,macncheese,177,58,384,205
4021474273_1c384cdfbe.jpg,341,500,macncheese,25,274,339,448
